order,node_index,signature
0,4,"蜡烛,红宝石,香炉,煅烧釜,云精灵,火焰药水"
1,5,"香炉,剑杖,翡翠,鳄鱼眼泪,真菌孢子,倒刺利爪,毒液"
2,8,"真菌孢子,蜡烛,地刺陷阱,鳄鱼眼泪,倒刺利爪,毒液,香炉"
3,9,"彩虹药水,炼金梨缶,毒芹,翡翠,水蛭,毒液注射"
4,10,"和平铸箱,真菌孢子,笔与墨,毒液,翡翠,腐朽圣像"
5,18,"真菌孢子,笔与墨,毒液,翡翠,和平铸箱,曲颈甑"
6,24,"真菌孢子,翡翠,剧毒药水,地窖,毒液,腐朽圣像"
7,25,"地刺陷阱,翡翠,真菌孢子,彩虹药水,倒刺利爪,毒液,香炉,鳄鱼眼泪"
8,27,"拆信刀,蜡烛,倒刺利爪,地刺陷阱,彩虹药水,手术刀,蛇怪之牙"
9,28,"真菌孢子,翡翠,剧毒药水,笔与墨,地窖,毒液,彩虹药水"
10,32,"展示玻璃球,瓶装闪电,红宝石,永恒火炬,彩虹药水,火焰药水"
11,33,"地刺陷阱,毒蜥,翡翠,水蛭,真菌孢子,倒刺利爪,毒液"
12,35,"彩虹药水,瓶装闪电,香炉,红宝石,煅烧釜,展示玻璃球"
13,37,"折射棱镜,地刺陷阱,毒液注射,翡翠,倒刺利爪,毒液,鳄鱼眼泪"
14,40,"彩虹药水,香炉,红宝石,永恒火炬,瓶装闪电,萤火虫,火焰药水"
15,45,"鳄鱼眼泪,曲颈甑,真菌孢子,地刺陷阱,倒刺利爪,毒液,翡翠"
16,51,"真菌孢子,倒刺利爪,毒液,颠茄,翡翠,毒蜥,毒液注射"
17,64,"生命导体,黑玫瑰,笔与墨,毒液,真菌孢子,毒液注射,翡翠"
18,65,"煅烧釜,香炉,红宝石,彩虹药水,萤火虫,火焰药水,瓶装闪电"
19,72,"鳄鱼眼泪,真菌孢子,翡翠,腐朽圣像,地刺陷阱,倒刺利爪,毒液"
20,73,"笔与墨,颠茄,云精灵,翡翠,毒液注射,贤者之石,真菌孢子"
21,78,"真菌孢子,颠茄,翡翠,毒蜥,水蛭,毒液注射"
22,81,"魔法飞毯,蛇怪之牙,地刺陷阱,曲颈甑,拆信刀,手术刀"
23,82,"蛇怪之牙,倒刺利爪,手术刀,贤者之石,地刺陷阱,瓶装闪电,魔法飞毯"
24,69,"碎瓶,香炉,蜡烛,红宝石,瓶装闪电,火焰药水,彩虹药水"
